Symbol,Company Name,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Date,AM/PM
WPM,Wheaton Precious Metals Corp.,40.45B,89.30,0.82%,Gold,"1,405,532",65.35,2025-06-26,AM
AHL,Aspen Insurance Holdings Limited,2.77B,30.19,-3.05%,Insurance - Specialty,"245,082",5.17,2025-06-26,AM
TBRG,"TruBridge, Inc.",331.98M,22.79,-1.13%,Health Information Services,"142,323",-,2025-06-26,AM
QVCGA,QVC Group Inc.,22.03M,2.730,0.37%,Internet Retail,"53,481",-,2025-06-26,AM
AVR,Anteris Technologies Global Corp.,143.26M,3.980,-1.12%,Medical Instruments & Supplies,"93,359",-,2025-06-26,AM
DAY,Dayforce Inc.,8.79B,55.00,-4.76%,Software - Application,"2,450,385",339.52,2025-06-26,AM
UAA,"Under Armour, Inc.",2.86B,6.70,-3.04%,Apparel Manufacturing,"6,988,375",-,2025-06-26,AM
FRGT,"Freight Technologies, Inc.",16.46M,1.785,-4.80%,Software - Application,"62,753",-,2025-06-26,AM
OLN,Olin Corporation,2.28B,19.84,-2.55%,Chemicals,"1,355,454",38.34,2025-06-26,AM
TRX,TRX Gold Corporation,93.35M,0.329,-2.32%,Gold,"642,972",-,2025-06-26,AM
TBMC,Trailblazer Merger Corporation I,52.73M,11.72,0.03%,Shell Companies,"5,628",-,2025-06-26,AM
MEIP,"MEI Pharma, Inc.",16.32M,2.450,8.17%,Biotechnology,"30,160",-,2025-06-26,AM
VABK,Virginia National Bankshares Corporation,197.40M,36.61,-1.32%,Banks - Regional,"3,007",11.09,2025-06-26,AM
CRWV,"CoreWeave, Inc.",76.56B,159.50,-7.60%,Software - Application,"17,830,675",-,2025-06-26,AM
CWK,Cushman & Wakefield plc,2.48B,10.73,-3.07%,Real Estate Services,"2,692,312",15.46,2025-06-26,AM
WINT,"Windtree Therapeutics, Inc.",1.35M,0.370,-6.45%,Biotechnology,"1,169,579",-,2025-06-26,AM
SRL,Scully Royalty Ltd.,89.97M,6.07,0.33%,Capital Markets,"8,163",-,2025-06-26,AM
TROX,Tronox Holdings plc,857.28M,5.41,-1.10%,Chemicals,"2,006,811",-,2025-06-26,AM
KFS,Kingsway Financial Services Inc.,385.46M,13.35,-2.70%,Auto & Truck Dealerships,"103,729",-,2025-06-26,AM
WHWK,"Whitehawk Therapeutics, Inc.",88.09M,1.870,-1.06%,Biotechnology,"65,467",2.04,2025-06-26,AM
NUVB,Nuvation Bio Inc.,639.69M,1.880,-8.29%,Biotechnology,"11,279,390",-,2025-06-26,AM
FTCI,"FTC Solar, Inc.",56.92M,4.320,-4.85%,Solar,"29,097",-,2025-06-26,AM
LPBB,Launch Two Acquisition Corp.,299.00M,10.40,-0.76%,Shell Companies,"80,399",63.78,2025-06-26,AM
LAUR,"Laureate Education, Inc.",3.36B,22.55,-2.17%,Education & Training Services,"465,941",11.93,2025-06-26,AM
CADE,Cadence Bank,5.84B,31.36,-0.16%,Banks - Regional,"1,412,088",11.00,2025-06-26,AM
CRVS,"Corvus Pharmaceuticals, Inc.",317.71M,4.120,-5.07%,Biotechnology,"1,168,101",-,2025-06-26,AM
PRSU,"Pursuit Attractions and Hospitality, Inc.",808.12M,28.60,-2.09%,Travel Services,"199,026",2.98,2025-06-26,AM
SLN,Silence Therapeutics plc,273.94M,5.80,-4.13%,Biotechnology,"186,121",-,2025-06-26,AM
AGAE,Allied Gaming & Entertainment Inc.,117.86M,3.100,-3.43%,Entertainment,"133,174",-,2025-06-26,AM
ALBT,Avalon GloboCare Corp.,7.01M,3.430,19.18%,Real Estate Services,"91,369",-,2025-06-26,AM
FRHC,Freedom Holding Corp.,8.76B,143.14,-1.41%,Financial Conglomerates,"121,061",102.24,2025-06-26,AM
AENT,Alliance Entertainment Holding Corporation,191.09M,3.750,7.14%,Entertainment,"149,043",15.96,2025-06-26,AM
VNDA,Vanda Pharmaceuticals Inc.,271.69M,4.610,2.44%,Biotechnology,"469,350",-,2025-06-26,AM
LSTR,"Landstar System, Inc.",4.82B,138.00,-0.86%,Integrated Freight & Logistics,"342,840",27.35,2025-06-26,AM
LNC,Lincoln National Corporation,5.62B,32.93,-0.66%,Insurance - Life,"2,025,380",4.59,2025-06-26,AM
ASML,ASML Holding N.V.,317.56B,815.24,0.23%,Semiconductor Equipment & Materials,"1,393,430",33.69,2025-06-26,AM
ATOM,Atomera Incorporated,151.06M,4.920,-4.28%,Semiconductor Equipment & Materials,"342,794",-,2025-06-26,AM
SEDG,"SolarEdge Technologies, Inc.",1.13B,19.09,0.85%,Solar,"5,354,927",-,2025-06-26,AM
CSBR,"Champions Oncology, Inc.",103.76M,7.57,-2.70%,Biotechnology,"20,657",16.55,2025-06-26,AM
ERNA,Ernexa Therapeutics Inc.,13.84M,1.880,-5.05%,Biotechnology,"59,913",-,2025-06-26,AM
EVAX,Evaxion A/S,16.36M,2.590,5.71%,Biotechnology,"250,030",-,2025-06-26,AM
HAE,Haemonetics Corporation,3.53B,73.40,0.47%,Medical Devices,"371,607",22.18,2025-06-26,AM
EZGO,EZGO Technologies Ltd.,1.93M,0.340,3.09%,Recreational Vehicles,"34,286",-,2025-06-26,AM
BUR,Burford Capital Limited,2.44B,11.18,-1.41%,Asset Management,"1,363,548",11.98,2025-06-26,AM
CLMB,"Climb Global Solutions, Inc.",454.37M,100.44,0.24%,Electronics & Computer Distribution,"102,824",23.55,2025-06-26,AM
LSB,"LakeShore Biopharma Co., Ltd",18.32M,0.970,2.11%,Biotechnology,"4,062",-,2025-06-26,AM
HTOO,Fusion Fuel Green PLC,4.71M,0.194,-6.58%,Utilities - Renewable,"676,184",-,2025-06-26,AM
NBY,"NovaBay Pharmaceuticals, Inc.",3.34M,0.574,-0.64%,Biotechnology,"6,063",1.26,2025-06-26,AM
YAAS,Youxin Technology Ltd,161.38M,4.810,-13.80%,Software - Application,"808,247",-,2025-06-26,AM
MTVA,MetaVia Inc.,13.48M,0.688,2.49%,Biotechnology,"65,939",-,2025-06-26,AM
AMTM,"Amentum Holdings, Inc.",5.64B,23.16,3.90%,Specialty Business Services,"2,911,199",242.46,2025-06-26,AM
PMAX,Powell Max Limited,7.90M,0.404,-0.42%,Specialty Business Services,"135,149",-,2025-06-26,AM
COHU,"Cohu, Inc.",905.87M,19.48,-0.97%,Semiconductor Equipment & Materials,"297,740",-,2025-06-26,AM
FAMI,"Farmmi, Inc.",2.29M,1.830,0.55%,Packaged Foods,"12,291",-,2025-06-26,AM
AIZ,"Assurant, Inc.",9.87B,194.60,-1.73%,Insurance - Property & Casualty,"324,799",15.18,2025-06-26,AM
ECL,Ecolab Inc.,75.54B,266.46,-0.14%,Specialty Chemicals,"883,160",36.24,2025-06-26,AM
KMT,Kennametal Inc.,1.73B,22.73,3.18%,Tools & Accessories,"2,912,905",16.43,2025-06-26,AM
SAND,Sandstorm Gold Ltd.,2.70B,9.22,0.99%,Gold,"5,664,936",93.10,2025-06-26,AM
TRDA,"Entrada Therapeutics, Inc.",248.91M,7.11,0.42%,Biotechnology,"116,237",11.64,2025-06-26,AM
